REsults from Tidal Range Scheme Title Line Here
Time(Hr) WLup(m) WLdown(m) HeadDiff(m) TRSarea(m2) Power(MW) Energy(MWH) QTurb(m3/s) QSluice(m3/s) Mode(-)
0.000000, 1.490000, 1.490000, 0.000000, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.016667, 1.490000, 1.489999, 0.000001, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.033333, 1.490000, 1.489999, 0.000001, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.050000, 1.490000, 1.489998, 0.000002, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.066667, 1.490000, 1.489997, 0.000003, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.083333, 1.490000, 1.489996, 0.000004, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.100000, 1.490000, 1.489996, 0.000004, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.116667, 1.490000, 1.489995, 0.000005, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.133333, 1.490000, 1.489994, 0.000006, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.150000, 1.490000, 1.489993, 0.000007, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.166667, 1.490000, 1.489993, 0.000007, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.183333, 1.490000, 1.489992, 0.000008, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.200000, 1.490000, 1.489991, 0.000009, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.216667, 1.490000, 1.489990, 0.000010, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.233333, 1.490000, 1.489990, 0.000010, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.250000, 1.490000, 1.489989, 0.000011, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.266667, 1.490000, 1.485140, 0.004860, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.283333, 1.490000, 1.480291, 0.009709, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.300000, 1.490000, 1.475443, 0.014557, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.316667, 1.490000, 1.470594, 0.019406, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.333333, 1.490000, 1.465745, 0.024255, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.350000, 1.490000, 1.460896, 0.029104, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.366667, 1.490000, 1.456047, 0.033953, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.383333, 1.490000, 1.451199, 0.038801, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.400000, 1.490000, 1.446350, 0.043650, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.416667, 1.490000, 1.441501, 0.048499, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.433333, 1.490000, 1.436652, 0.053348, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.450000, 1.490000, 1.431803, 0.058197, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.466667, 1.490000, 1.426955, 0.063045, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.483333, 1.490000, 1.422106, 0.067894, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.500000, 1.490000, 1.417257, 0.072743, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.516667, 1.490000, 1.395272, 0.094728, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.533333, 1.490000, 1.373287, 0.116713, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.550000, 1.490000, 1.351303, 0.138697, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.566667, 1.490000, 1.329318, 0.160682, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.583333, 1.490000, 1.307333, 0.182667, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.600000, 1.490000, 1.285348, 0.204652, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.616667, 1.490000, 1.263363, 0.226637, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.633333, 1.490000, 1.241379, 0.248621, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.650000, 1.490000, 1.219394, 0.270606, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.666667, 1.490000, 1.197409, 0.292591, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.683333, 1.490000, 1.175424, 0.314576, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.700000, 1.490000, 1.153439, 0.336561, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.716667, 1.490000, 1.131455, 0.358545, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.733333, 1.490000, 1.109470, 0.380530, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.750000, 1.490000, 1.087485, 0.402515, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.766667, 1.490000, 1.075352, 0.414648, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.783333, 1.490000, 1.063219, 0.426781, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.800000, 1.490000, 1.051086, 0.438914, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.816667, 1.490000, 1.038954, 0.451046, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.833333, 1.490000, 1.026821, 0.463179, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.850000, 1.490000, 1.014688, 0.475312, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.866667, 1.490000, 1.002555, 0.487445, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.883333, 1.490000, 0.990422, 0.499578, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.900000, 1.490000, 0.978289, 0.511711, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.916667, 1.490000, 0.966156, 0.523844, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.933333, 1.490000, 0.954023, 0.535977, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.950000, 1.490000, 0.941891, 0.548109, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.966667, 1.490000, 0.929758, 0.560242, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
0.983333, 1.490000, 0.917625, 0.572375, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.000000, 1.490000, 0.905492, 0.584508, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.016667, 1.490000, 0.897296, 0.592704, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.033333, 1.490000, 0.889100, 0.600900, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.050000, 1.490000, 0.880904, 0.609096, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.066667, 1.490000, 0.872709, 0.617291, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.083333, 1.490000, 0.864513, 0.625487, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.100000, 1.490000, 0.856317, 0.633683, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.116667, 1.490000, 0.848121, 0.641879, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.133333, 1.490000, 0.839925, 0.650075, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.150000, 1.490000, 0.831729, 0.658271, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.166667, 1.490000, 0.823533, 0.666467, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.183333, 1.490000, 0.815337, 0.674663, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.200000, 1.490000, 0.807142, 0.682858, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.216667, 1.490000, 0.798946, 0.691054, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.233333, 1.490000, 0.790750, 0.699250, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.250000, 1.490000, 0.782554, 0.707446, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.266667, 1.490000, 0.779987, 0.710013, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.283333, 1.490000, 0.777420, 0.712580, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.300000, 1.490000, 0.774853, 0.715147, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.316667, 1.490000, 0.772287, 0.717713, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.333333, 1.490000, 0.769720, 0.720280, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.350000, 1.490000, 0.767153, 0.722847, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.366667, 1.490000, 0.764586, 0.725414, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.383333, 1.490000, 0.762019, 0.727981, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.400000, 1.490000, 0.759452, 0.730548, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.416667, 1.490000, 0.756885, 0.733115, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.433333, 1.490000, 0.754318, 0.735682, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.450000, 1.490000, 0.751752, 0.738248, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.466667, 1.490000, 0.749185, 0.740815, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.483333, 1.490000, 0.746618, 0.743382, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.500000, 1.490000, 0.744051, 0.745949, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.516667, 1.490000, 0.724738, 0.765262, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.533333, 1.490000, 0.705425, 0.784575, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.550000, 1.490000, 0.686111, 0.803889, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.566667, 1.490000, 0.666798, 0.823202, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.583333, 1.490000, 0.647485, 0.842515, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.600000, 1.490000, 0.628172, 0.861828, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.616667, 1.490000, 0.608859, 0.881141, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
1.633333, 1.490000, 0.589545, 0.900455, 136478.091044, 0.000000, 0.000000, 0.000000, 0.000000, 2
